question_id,irt_difficulty
Q09027,1.7258769855246323
Q04937,1.6966924489126933
Q00327,1.6715884012666915
Q07430,1.6299746520529865
Q00672,1.5815593176206197
Q00094,1.5644868111184873
Q02668,1.5619708330091553
Q09222,1.5174918732314153
Q07986,1.5012508905702053
Q07667,1.4988052828778247
Q00744,1.4965360532374634
Q04137,1.487667123095412
Q06252,1.4874973887068637
Q08719,1.4798210839300132
Q00931,1.4614449154008078
Q10094,1.4555260597625537
Q05557,1.452982151125462
Q07069,1.4482087123608776
Q07741,1.442014567395693
Q06526,1.4345362312992114
Q07831,1.4308067105456426
Q01058,1.425926575184306
Q03783,1.4257906332639498
Q09873,1.414926358408214
Q08866,1.4077187598880152
Q10018,1.4076664787162343
Q03680,1.3964307708541768
Q02598,1.3962998835124372
Q00740,1.3960019021004375
Q03881,1.3946950862779182
Q03657,1.3892012038227028
Q09252,1.3821986550024843
Q01128,1.379392661414875
Q06120,1.366940467530291
Q03873,1.3668141135057872
Q10484,1.3634185976067248
Q08428,1.3616500802436273
Q07317,1.356854146457368
Q04826,1.3502364634131274
Q02604,1.3437567306410225
Q08205,1.3405160306236348
Q06411,1.3404424033445408
Q03017,1.338128013418842
Q01463,1.3381008965263053
Q01676,1.3361495492114122
Q10322,1.3351940884892497
Q07586,1.3348513377407514
Q05968,1.3310814838918967
Q09211,1.3294316427823094
Q00845,1.328250158974142
Q00273,1.328173848982394
Q03304,1.326625939806202
Q06528,1.320157621021691
Q04814,1.3187559085744731
Q02944,1.3185420550887994
Q05628,1.3184948884720276
Q01510,1.3162456597310996
Q06558,1.3103996678065573
Q08341,1.3087666945698035
Q09951,1.3015386697313336
Q07381,1.3009940132069295
Q08660,1.300151663145225
Q07991,1.2950236628666345
Q06826,1.2907303621812458
Q00402,1.2902286954323772
Q05029,1.2848271455801732
Q05849,1.283789434018265
Q08026,1.275214581815445
Q02831,1.2732727536544148
Q01405,1.2730905166193398
Q03452,1.2676524495969776
Q10280,1.2665714759440878
Q02243,1.265904336269639
Q10260,1.2636601689112
Q00836,1.2472509787242934
Q06187,1.2449071813322337
Q09300,1.2436537164382993
Q06372,1.2431945658253214
Q01872,1.240607185985519
Q00848,1.239641877906
Q09853,1.236638646224033
Q03140,1.2319305424407863
Q08553,1.2314134794245077
Q02890,1.2292938694001936
Q04016,1.2245022638318865
Q09214,1.2188419195101106
Q00667,1.2182272782849972
Q00661,1.2150468332455184
Q04877,1.2148989531310204
Q03385,1.2147167606119935
Q02795,1.2120958042160594
Q02576,1.2082210900081776
Q09355,1.2050225495920475
Q01988,1.204069877277683
Q02393,1.2039912670873743
Q10066,1.2039124793757945
Q02516,1.2004342221268431
Q04624,1.2000520857448578
Q07219,1.1970755402279085
Q01019,1.1962693094223025
Q01995,1.193959191372726
Q04648,1.1928005432359625
Q06063,1.1920925002471428
Q06515,1.1908695759024832
Q04231,1.1891225328224282
Q07647,1.1889708934920977
Q02805,1.1889451000646283
Q02390,1.1871671245784545
Q05679,1.1869380266206926
Q08754,1.1814886127346595
Q08346,1.1780959031882694
Q02671,1.1770186335017012
Q09561,1.1758301756171288
Q04120,1.1756563169967194
Q09619,1.1751924065546144
Q01806,1.1746186405044667
Q00247,1.174120088898001
Q04773,1.1736860825372328
Q07772,1.1732592130250512
Q08877,1.1724660421207953
Q04057,1.1701214135124354
Q00123,1.169606098519284
Q10003,1.1675513594664213
Q10382,1.1631367667242352
Q08546,1.1620606506942481
Q07585,1.1614921852104212
Q00837,1.1607887091465403
Q02200,1.1600363550674155
Q06916,1.1543006433949223
Q08862,1.1524221496421918
Q01884,1.1523428350238045
Q04486,1.152008990947491
Q05865,1.1519710200556812
Q02468,1.1514962716861363
Q10302,1.149621033036703
Q00804,1.1484313274078044
Q03592,1.1476518286357886
Q04607,1.1450420750381651
Q03799,1.144831291735862
Q10358,1.143381836018511
Q01138,1.1433532177308772
Q01821,1.143219516857389
Q07943,1.1426749344331197
Q07002,1.1413540129227118
Q01493,1.1408942447524366
Q06806,1.1389686745948415
Q03114,1.1376773590769758
Q05010,1.1374485673976542
Q01028,1.1366542850026837
Q09359,1.1364320560437113
Q08987,1.1314327277125669
Q10085,1.1309556087121824
Q02326,1.1300529738587592
Q06345,1.1298346127702212
Q06546,1.1284593250943367
Q06500,1.1279982806337219
Q01184,1.1278291065984012
Q04255,1.127434029341507
Q08415,1.1259641972990635
Q09317,1.125231498099836
Q07967,1.125217509339203
Q04850,1.1247604563133566
Q09688,1.1242982487837447
Q04244,1.1231334663526271
Q07589,1.1201642655827861
Q04020,1.120131083914746
Q00639,1.1191973916656897
Q09202,1.1187847438943546
Q00673,1.1187234662181087
Q10195,1.1176815885795575
Q09924,1.1157947914838855
Q09023,1.1157896360319344
Q10058,1.1154133297602542
Q07104,1.1151745435749525
Q00768,1.112811321269693
Q08506,1.1125883234287302
Q08786,1.109606851247562
Q09576,1.107942096683871
Q09905,1.104920732726593
Q06650,1.10458756435653
Q05278,1.1038945894225005
Q08007,1.101786246333278
